,game_id,team,net_pass_yds,net_rush_yds,time_of_possession,net_pen_yds,fumble,interception,turnovers,num_passing_attempts,completions,completion_ratio,ypg,qbr,num_rushing_attempts,is_winner
115,2009100409,NYJ,112,132,1638.0,0.0,1.0,2.0,3.0,30.0,14.0,0.4666666666666667,244,28.750000000000004,27,True
116,2009100410,DAL,241,74,1890.0,35.0,2.0,1.0,3.0,46.0,25.0,0.5434782608695652,315,60.14492753623188,25,False
117,2009100410,DEN,221,117,1616.0,0.0,2.0,0.0,2.0,32.0,20.0,0.625,338,103.77604166666667,24,True
118,2009100411,STL,82,95,1748.0,5.0,1.0,1.0,2.0,29.0,13.0,0.4482758620689655,177,36.85344827586207,28,False
119,2009100411,SF,132,98,1742.0,10.0,0.0,0.0,0.0,27.0,14.0,0.5185185185185185,230,90.35493827160494,27,True
120,2009100412,PIT,320,179,2435.0,0.0,2.0,0.0,2.0,37.0,27.0,0.7297297297297297,499,125.9572072072072,34,True
121,2009100412,SD,235,16,1153.0,0.0,1.0,0.0,1.0,39.0,21.0,0.5384615384615384,251,97.70299145299145,8,False
122,2009100500,GB,342,82,1662.0,15.0,1.0,1.0,2.0,46.0,26.0,0.5652173913043478,424,85.59782608695653,17,False
123,2009100500,MIN,271,65,1875.0,0.0,1.0,0.0,1.0,32.0,24.0,0.75,336,131.11979166666669,28,True
124,2009101107,MIN,288,89,1578.0,30.0,0.0,1.0,1.0,29.0,21.0,0.7241379310344828,377,100.93390804597702,24,True
125,2009101107,STL,278,122,1818.0,12.0,3.0,1.0,4.0,40.0,27.0,0.675,400,85.20833333333334,30,False
126,2009101106,TB,218,85,1971.0,0.0,2.0,3.0,5.0,53.0,26.0,0.49056603773584906,303,49.09591194968554,22,False
127,2009101106,PHI,249,78,1502.0,27.0,1.0,0.0,1.0,27.0,17.0,0.6296296296296297,327,130.01543209876542,19,True
128,2009101104,DAL,348,151,1827.0,0.0,1.0,0.0,1.0,35.0,20.0,0.5714285714285714,499,110.17857142857143,25,True
129,2009101104,KC,232,72,1960.0,0.0,0.0,0.0,0.0,45.0,23.0,0.5111111111111111,304,80.97222222222223,29,False
130,2009101103,PIT,262,85,1575.0,0.0,1.0,1.0,2.0,32.0,23.0,0.71875,347,114.32291666666667,18,True
131,2009101103,DET,225,110,1918.0,0.0,4.0,1.0,5.0,43.0,23.0,0.5348837209302325,335,66.52131782945736,25,False
132,2009101102,CAR,164,88,1463.0,0.0,3.0,1.0,4.0,28.0,16.0,0.5714285714285714,252,71.13095238095238,30,True
133,2009101102,WAS,124,74,1796.0,0.0,2.0,0.0,2.0,28.0,17.0,0.6071428571428571,198,83.03571428571428,24,True
